id	x	y	name
0	50	9	0Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
1	62	9	1Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
2	72	24	2Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
3	63	59	3Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
4	28	98	4Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
5	27	85	5Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
6	91	81	6Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
7	14	65	7Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
8	5	68	8Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
9	93	18	9Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
10	64	48	10Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
11	68	87	11Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
12	30	77	12Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
13	55	100	13Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
14	48	28	14Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
15	57	88	15Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
16	26	87	16Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
17	49	91	17Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
18	88	78	18Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
19	77	79	19Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
20	73	6	20Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
21	36	64	21Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
22	51	77	22Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
23	6	88	23Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
24	42	8	24Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
25	85	90	25Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
26	14	62	26Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
27	67	37	27Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
28	29	88	28Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
29	6	61	29Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
30	63	68	30Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
31	99	90	31Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
32	61	17	32Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
33	14	64	33Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
34	85	60	34Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
35	30	39	35Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
36	71	71	36Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
37	6	52	37Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
38	54	47	38Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
39	58	51	39Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
