id	x	y	name
0	87	18	0Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
1	75	18	1Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
2	61	94	2Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
3	60	58	3Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
4	84	62	4Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
5	22	91	5Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
6	69	99	6Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
7	76	29	7Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
8	63	86	8Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
9	82	26	9Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
10	13	35	10Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
11	22	49	11Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
12	16	80	12Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
13	31	36	13Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
14	57	58	14Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
15	63	85	15Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
16	53	89	16Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
17	85	50	17Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
18	58	90	18Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
19	12	97	19Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
20	14	3	20Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
21	69	78	21Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
22	17	99	22Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
23	13	2	23Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
24	39	4	24Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
25	34	29	25Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
26	16	54	26Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
27	78	11	27Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
28	17	10	28Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
29	71	8	29Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
30	65	93	30Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
31	15	34	31Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
32	74	66	32Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
