id	x	y	name
0	30	100	Nederland verliest strijd met grote software spelers over het opbouwen van landelijke standaarden in ICT. 
1	40	100	Digitale netwerken zijn in handen van het bedrijfsleven. De kloof tussen wetgeving en technologie geeft ruimte aan BigCo´s om maatschappij te sturen.
2	60	30	Biomassa wint terrein als flexibel te verkrijgen, goedkope brandstof. Kernenergie keert terug in Europa.
3	50	70	De vanwege wetgeving ongebruikte overschotten van de olie-industrie blijken veel groter dan gedacht, waardoor de prijs een laagte record nadert.
4	80	10	De 5e wegverkeerstoren van RWS voor het beheer van knooppunten (placemaking) in de sector Zuid is geopend.
5	70	50	Havens verliezen hun functie verworden tot recreatie- productie en woonzones.
6	81	14	6Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
7	44	69	7Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
8	38	32	8Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
9	18	89	9Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
10	87	77	10Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
11	7	37	11Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
12	21	74	12Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
13	17	93	13Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
14	61	77	14Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
15	83	87	15Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
16	83	93	16Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
17	65	87	17Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
18	46	7	18Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
19	97	91	19Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
20	20	45	20Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
21	73	51	21Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
22	71	24	22Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
23	41	19	23Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
24	40	75	24Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
25	92	88	25Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
26	89	1	26Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
27	24	41	27Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
28	82	14	28Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
29	71	54	29Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
30	15	47	30Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
31	12	79	31Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
32	15	53	32Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
33	49	39	33Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
34	67	23	34Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
35	15	5	35Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
36	50	34	36Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
37	39	77	37Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
38	97	94	38Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
39	60	79	39Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris vehicula tincidunt pretium. Nam at velit id neque fringilla vestibulum amet.
